net,length_um
_155_,354.9
counter.count\[0\],325.18
counter.count\[2\],320.96
_153_,310.24
_118_,308.66
_154_,299.595
div.count\[8\],294.31
div.count\[28\],294.06
_090_,287.2
div.count\[10\],284.375
div.count\[18\],277.86
div.count\[9\],273.91
div.count\[11\],273.46
counter.count\[3\],268.54
div.count\[6\],262.14
div.count\[19\],251.71
_156_,251.17
_084_,243.74
_103_,242.505
div.count\[20\],240.89
div.count\[12\],240.42
div.count\[13\],222.815
div.count\[29\],215.6
div.count\[17\],214.66
counter.count\[1\],206.51
clknet_2_1__leaf_clk,204.34
_106_,203.04
div.count\[0\],200.06
div.count\[21\],199.82
_099_,199.24
_120_,197.47
div.count\[24\],196.2
div.count\[4\],192.63
_128_,182.08
div.count\[5\],179.6
_100_,179.53
counter.clk,177.72
_012_,177.71
div.count\[2\],177.56
div.count\[7\],174.54
_135_,173.405
_125_,172.84
div.count\[22\],172.08
div.count\[15\],169
div.count\[1\],168.91
_093_,166.1
clknet_2_2__leaf_clk,165.52
_109_,163.9
_114_,163.72
_140_,163.58
_110_,163.32
net4,162.81
div.count\[26\],160.62
div.count\[27\],158.88
div.count\[23\],158.82
_074_,158.05
_111_,157.4
_050_,156.96
clknet_2_0__leaf_clk,156.94
div.count\[16\],156.12
_097_,155.475
div.count\[3\],154.54
_015_,153.16
_078_,152.4
div.count\[14\],151.4
_150_,149.97
div.count\[30\],148.54
_147_,147.99
div.count\[25\],147.76
_010_,147.58
_051_,146.8
_142_,145.74
_025_,144.305
_122_,143.83
clknet_2_3__leaf_clk,141.2
_080_,139.9
_042_,139.56
net6,132.455
_087_,131.84
_001_,130.26
_018_,127.71
_088_,127.22
_151_,124.88
_005_,123.04
_079_,122.46
_113_,120.86
_044_,120.85
_133_,119.6
net3,118.1
_136_,117.72
_081_,116.28
_115_,115.84
_096_,114.18
_059_,113.09
_026_,112.6
_057_,112.41
_049_,112.33
net7,112.32
_085_,111.36
_020_,109.93
_086_,109.78
_040_,109.51
_143_,108.72
_131_,108.44
_137_,106.5
_002_,106.06
_095_,105.6
_021_,104.02
_098_,103.36
_146_,103.28
_039_,102.07
net5,101.58
_132_,101.12
_129_,100.96
_127_,99.48
_019_,98.14
_094_,97.46
_017_,96.66
_064_,96.03
_124_,95.38
_014_,94.72
_066_,92.63
_107_,92.54
clk,92.27
_092_,90.92
_003_,90.5
_055_,89.69
_102_,89.54
_031_,89.52
_058_,88.05
_116_,85.62
_104_,83.96
_117_,83.94
_024_,83.6
_032_,83.52
net1,77.34
_089_,76.94
_036_,75.57
_091_,73.88
clknet_0_clk,73.6
_083_,73.16
_054_,71.64
_130_,71.52
_138_,70.8
_035_,69.24
net2,68.38
_105_,67.98
_013_,67.84
_145_,66.54
_072_,64.49
_033_,62.185
_101_,62.02
_041_,61.91
_000_,61.86
_134_,61.4
_141_,60.8
_065_,60.36
_112_,59.62
_023_,59.24
_029_,58.86
_076_,55.9
_053_,55.64
_061_,55.36
_067_,55.09
_011_,54.58
_068_,54.56
_060_,52.8
div.count\[31\],51.835
_075_,50.36
_043_,49.66
_007_,48.86
_037_,48.67
_149_,47.36
_071_,46.19
_108_,45.4
_073_,45.34
_077_,45.26
_022_,44
_069_,42.91
_038_,42.85
_082_,42.485
_030_,42.38
_052_,42.01
_062_,38.91
_047_,37.27
_028_,36.86
_126_,32.84
_148_,32.26
_056_,32.17
_119_,30.96
_004_,30.3
rst_button,29.79
_139_,29.26
_034_,26.3
_121_,24.84
_152_,24.84
_008_,24.04
_123_,23.98
_144_,22.46
_045_,21.17
_016_,18.48
_006_,16.22
seg[6],15.33
_027_,14.54
net8,14.11
_046_,12.77
_070_,10.73
seg[1],8.41
_048_,7.94
net9,4.61
net11,4.61
net10,3.93
seg[0],3.93
seg[2],3.93
seg[3],3.93
seg[4],3.93
seg[5],3.93
_063_,3.13
_009_,3.08
